what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.3.0.v201105101529,"org.eclipse.wst.sse.ui",1314098759750
started,bundle,org.eclipse.wst.sse.core,1.1.600.v201105162116,"org.eclipse.wst.sse.core",1314098759781
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1314098759812
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1314098759937
started,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1314098760015
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1314098760156
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1314098760156
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1314098760218
started,bundle,org.eclipse.emf.common,2.7.0.v20110605-0747,"org.eclipse.emf.common",1314098760234
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314098760265
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314098760437
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1314098761734
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314098789312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314098791453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314098806578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314098809515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314098809531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314098809640
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099262312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099263203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099269796
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314099271968
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314099272062
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314099272062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099275296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099290156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099290671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099290671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099290687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099329812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099332796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099346671
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314099346984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099352562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099364625
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1314099374421
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1314099374500
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099374515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099375640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099378437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099432250
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314099434718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099437000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099551812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099554218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099557156
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314099557437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099561218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099587828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099615437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099629875
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1314099630812
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314099632875
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.ClassFileEditor",1314099632875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099635843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099659875
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314099662046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099663593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099683578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099688828
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099693203
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1314099693203
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314099693421
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099699578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099703109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099706312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099714125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099725984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099779859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099780906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099791375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099793578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099960953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099964609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314099967031
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314099972265
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314099975906
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314099976171
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314100001343
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100001625
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100001703
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314100002406
opened,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100002656
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100002687
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ResourceNavigator",1314100004406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100011906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100056109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100058109
started,bundle,org.eclipse.help.base,3.6.0.v201106131736,"org.eclipse.help.base",1314100140828
started,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1314100140828
started,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1314100140968
started,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1314100155171
started,bundle,org.eclipse.equinox.http.servlet,1.1.200.v20110502,"org.eclipse.equinox.http.servlet",1314100155203
started,bundle,org.eclipse.equinox.http.registry,1.1.100.v20110502,"org.eclipse.equinox.http.registry",1314100155312
started,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1314100155453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100175796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100177281
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100177296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100177296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100253437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100255296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100255296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100255296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100263218
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100263328
activated,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100263359
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100263359
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314100265281
closed,editor,org.eclipse.wst.xml.ui,1.1.200.v201105111835,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1314100265281
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1314100267984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100269953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100518375
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1314100518671
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1314100519531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1314100520921
