Ts,Symbol,Price,Volume
2012,DRCT,30.44,100
3984,DSTM,6.49,100
5917,DIS,25.08,1000
7902,DHR,53,9800
9973,DTE,41.77,400
12071,DJO,17.08,200
14045,DIS,25.08,1000
16096,DLM,10.55,2200
18153,DPP,9.7,500
20194,DIA,99.97,20000
22258,DIA,99.97,20000
24258,DSCP,34.51,100
26238,DSTM,6.58,100
28170,DSCP,34.49,100
30142,DTE,41.77,400
32068,DUX.X,0,0
33999,DTX.X,0,0
35986,DJMSPR.X,0,0
37932,DJMSSB.X,0,0
39924,DSTM,6.48,100
41834,DCX,41.55,4500
43815,DEO,53.28,100
45845,D,65.15,1100
47889,DIA,99.97,20000
49820,DLTR,25.59,200
51821,DIA,99.97,20000
53763,DIA,99.97,20000
55729,DQE,17.69,300
57739,DLM,10.55,2200
59799,DSTM,6.47,100
61723,DRCT,30.44,100
63727,DELL,35.98,1300
65795,DELL,35.98,1300
67757,DCS,18.27,300
69842,DYOLF,2.95,3000
71805,DECK,36.33,100
73868,DUCK,16.14,200
75893,DIOD,25.23,100
77885,DRCT,30.44,100
79788,DRS,36.24,200
81802,DIS,25.08,1000
83778,DJCBTI.X,0,0
85760,DJX.X,0,0
87716,DESC,2.46,100
89686,DRCT,30.44,100
91641,DCGN,7.56,400
93645,DCGN,7.55,500
95681,DLI,32.65,3000
97747,DECC,12.46,1100
99683,DGII,12.42,100
101738,DGII,12.42,100
103736,DCGN,7.54,300
105803,DJUSM.X,0,0
107896,DNDN,8.45,500
109948,DCGN,7.54,400
111887,DJ-PREM,0,0
113834,DEO,53.28,100
115926,DTC,11.66,3000
118003,DF,29.15,100
119981,DLTR,25.59,200
121897,DNDN,8.41,100
123984,DESC,2.47,300
125940,DIA,99.97,20000
127924,DIA,99.97,20000
129994,DNDN,8.41,200
131977,DVSA,8.63,100
133883,DLTR,25.59,400
135819,DYOLF,2.95,3000
137869,DHR,53,9800
139811,DCX,41.55,2500
141862,DECA,8.35,3000
143779,DJUSEN.X,0,0
145738,DJMSOL.X,0,0
147801,DCGN,7.54,600
149736,DIOD,25.21,200
151648,DIIB,28.98,100
153570,DUCK,16.14,200
155640,DNDN,8.41,100
157654,DELL,35.98,1800
159734,DJO,17.08,200
161655,DUCK,16.14,200
163685,DUCK,16.14,200
165714,DUK,23.42,200
167776,DTE,41.75,400
169694,DIA,99.97,20000
171713,DIA,99.97,20000
173753,DISH,32.81,300
175822,DIA,99.97,20000
177885,DECC,12.46,1000
179860,DECC,12.46,1000
181856,DISH,32.81,300
183895,DISH,32.81,300
185944,DELL,35.98,1800
187903,DVSA,8.63,100
189832,DCGN,7.54,600
191787,DSCP,34.49,100
193722,DIA,99.97,20000
195771,DNDN,8.41,100
197693,DAX.X,0,0
199694,DQE,17.69,300
201759,DRS,36.24,200
203848,DUC,14.5,2000
205784,DTE,41.75,400
207766,DCS,18.27,500
209796,DEO,53.28,100
211749,DIA,99.97,20000
213828,DIA,99.97,20000
215910,DIA,99.97,20000
218009,DUK,23.42,200
219961,DECK,36.33,100
221950,DNDN,8.45,500
224033,DQU-B,34.5,200
225946,DVSA,8.65,100
228017,DEBS,24.7,100
230046,DVSA,8.64,100
231992,DLTR,25.59,100
233999,DLTR,25.6,200
236046,DLTR,25.59,200
238059,DIA,99.97,20000
239999,DIOD,25.2,100
241899,DIA,99.97,20000
243878,DJUSBM.X,0,0
245879,DVSA,8.61,100
247807,DECC,12.45,100
249903,DJX.X,0,0
251955,DSCP,34.49,100
254048,DAIEY,4,1000
255978,DRS,36.24,200
258034,DHR,52.98,700
260115,DIA,99.97,20000
262112,DUC,14.5,2000
264155,DLM,10.55,2200
266146,DSG,67.76,1500
268238,DIA,99.97,20000
270289,DVSA,8.61,100
272234,DVSA,8.61,100
274278,DVSA,8.61,100
276237,DLTR,25.59,200
278245,DECK,36.33,100
280330,DLTR,25.59,200
282368,DNDN,8.45,500
284288,DLTR,25.59,200
286314,DLPX,3.78,100
288372,DELL,35.98,2100
290308,DTC,11.66,3000
292254,DOW,44.69,500
294178,DCX,41.55,4500
296162,DVA,31.83,700
298230,DELL,35.98,2100
300151,DJ-PREM,0,0
302129,DELL,35.98,2100
304213,DLTR,25.59,200
306245,DIIB,28.98,500
308243,DISH,32.8,100
310202,DIOD,25.2,100
312155,DSV,171.15,1500
314137,DIOD,25.2,100
316119,DLTR,25.58,300
318021,DEBS,24.7,100
320111,DSCP,34.49,100
322198,DVSA,8.61,100
324142,DDF,23.32,100
326198,DIOD,25.18,200
328139,DSCP,34.49,100
330126,DCGN,7.54,600
332158,DCGN,7.53,100
334084,DDF,11.77,1500
336061,DTE,41.75,400
338073,DEO,53.28,100
340171,DLTR,25.58,200
342184,DVSA,8.6,100
344235,DGII,12.46,100
346334,DHR,52.98,700
348247,DT,18.76,2100
350262,DISH,32.8,100
352352,DISH,32.8,100
354420,DLTR,25.58,200
356354,DLTR,25.58,200
358379,DCGN,7.53,200
360368,DJ-PREM,0,0
362466,DELL,35.98,2600
364549,DTV,17.94,400
366587,DGII,12.46,100
368672,DLPX,3.77,100
370648,DSCP,34.49,100
372567,DLM,10.55,2500
374608,DUC,14.49,200
376595,DTC,11.59,100
378630,DYN,4.69,1000
380699,DTC,11.59,100
382662,DRIV,31.8,100
384608,DUX.X,0,0
386690,DJMSBK.X,0,0
388738,DJMSEU.X,0,0
390692,DJMSDF.X,0,0
392722,DJMSSC.X,0,0
394646,DJUSTC.X,0,0
396744,DJX.X,0,0
398792,DJUS.X,0,0
400881,DVA,31.83,300
402790,DQU-C,34.5,200
404722,DTC,11.59,100
406751,DDF,11.76,200
408763,DGII,12.46,100
410727,DSCP,34.49,100
412808,DCGN,7.53,200
414793,DROOY,1.99,3300
416814,DLTR,25.58,200
418885,DUC,14.49,200
420919,DUC,14.49,200
422953,DJUSCY.X,0,0
425044,DJUSNC.X,0,0
427131,DJUSIN.X,0,0
429095,DJIE.X,0,0
431166,DJINET,0,0
433197,DJECOM,0,0
435287,DJR.X,0,0
437385,DJUSGL.X,0,0
439377,DJUSGS.X,0,0
441416,DJUSVS.X,0,0
443346,DWRTT.X,0,0
445427,DIOD,25.18,200
447515,DJMSBT.X,0,0
449477,DRIV,31.8,100
451569,DELL,35.98,2100
453602,DISH,32.8,100
455616,DOVP,17.28,500
457528,DCGN,7.53,2200
459470,DISH,32.81,300
461396,DQU-C,34,2500
463313,DCX,41.55,4500
465245,DIS,25.08,1000
467288,DUC,14.5,1700
469193,DJGT.X,0,0
471151,DELL,35.97,700
473227,DSCP,34.49,100
475201,DSCP,34.49,100
477292,DSG,68.43,1500
479279,DSV,172.84,1500
