Ts,Symbol,UpAvg,DownAvg
0,D,65.04,65.04
5000000,D,65.04,65.04
5000000,D-A,27.37,27.37
5000000,D-U,54.33,54.33
5000000,DA,16.66,16.66
5000000,DAAT,1.9,1.9
5000000,DAB,17.7,17.7
5000000,DADE,53.99,53.99
5000000,DAGM,3.7,3.7
5000000,DAIEY,4,4
5000000,DAIO,2.7,2.7
5000000,DAKT,24.49,24.49
5000000,DAL,2.91,2.91
5000000,DANKY,3.43,3.43
5000000,DAR,3.97,3.97
5000000,DASTY,50.7,50.7
5000000,DATA,10.98,10.98
5000000,DATC,0,0
5000000,DAVE,7.06,7.06
5000000,DAX.X,0,0
5000000,DB,74.79,74.79
5000000,DBD,46.42,46.42
5000000,DBLE,14.87,14.87
5000000,DBMI,0.74,0.74
5000000,DBRN,17.92,17.92
5000000,DBTC,1.2,1.2
5000000,DCAI,7.83,7.83
5000000,DCAP,6.6,6.6
5000000,DCBF,24.25,24.25
5000000,DCBK,26.28,26.28
5000000,DCEL,1.21,1.21
5000000,DCG,8.85,8.85
5000000,DCGN,7.21,7.21
5000000,DCI,28.17,28.17
5000000,DCLK,6.26,6.26
5000000,DCM,17.38,17.38
5000000,DCN,14.41,14.41
5000000,DCO,22.21,22.21
5000000,DCOM,17,17
5000000,DCP,54.36,54.36
5000000,DCPI,0.6,0.6
5000000,DCQ,26.43,26.43
5000000,DCS,18.26,18.26
5000000,DCTC,0,0
5000000,DCTH,2.14,2.14
5000000,DCTHW,0.51,0.51
5000000,DCTHZ,1.4,1.4
5000000,DCU,2.23,2.23
5000000,DCV,10.78,10.78
5000000,DCX,41.42,41.42
5000000,DCZ,0.7,0.7
5000000,DD,43.05,43.05
5000000,DD-A,72.9,72.9
5000000,DD-B,89.06,89.06
5000000,DDD,3.03,3.03
5000000,DDDC,2.03,2.03
5000000,DDE,10.04,10.04
5000000,DDF,11.64,11.64
5000000,DDIC,4.37,4.37
5000000,DDN,19.04,19.04
5000000,DDR,42.14,42.14
5000000,DDR-F,26.98,26.98
5000000,DDR-G,27,27
5000000,DDR-H,25.49,25.49
5000000,DDR-I,25.55,25.55
5000000,DDRX,4.44,4.44
5000000,DDS,19.28,19.28
5000000,DDT,24.5,24.5
5000000,DDX.X,0,0
5000000,DE,58.34,58.34
5000000,DEAR,26.75,26.75
5000000,DEBS,24.22,24.22
5000000,DECA,8.12,8.12
5000000,DECC,12.1,12.1
5000000,DECK,35.79,35.79
5000000,DEDOW.X,0,0
5000000,DEG,111.24,111.24
5000000,DEL,39.43,39.43
5000000,DELL,35.97,35.97
5000000,DELT,11.89,11.89
5000000,DEO,53.25,53.25
5000000,DEPO,4.9,4.9
5000000,DER,7.49,7.49
5000000,DES,5.1,5.1
5000000,DESC,2.46,2.46
5000000,DEVC,14.24,14.24
5000000,DEX,21.85,21.85
5000000,DEXTQ,0,0
5000000,DEZ,1.01,1.01
5000000,DF,28.91,28.91
5000000,DFB,12.74,12.74
5000000,DFC,8.27,8.27
5000000,DFCT,0.18,0.18
5000000,DFG,38.93,38.93
5000000,DFIB,1.68,1.68
5000000,DFM,11.25,11.25
5000000,DFNS,0.85,0.85
5000000,DFS,15.39,15.39
5000000,DFTS,0.14,0.14
5000000,DFX,0,0
5000000,DFY,26.75,26.75
5000000,DG,18.78,18.78
5000000,DGAS,26.22,26.22
5000000,DGF,12.13,12.13
5000000,DGICA,18.79,18.79
5000000,DGII,12.42,12.42
5000000,DGIN,14.24,14.24
5000000,DGIT,1.18,1.18
5000000,DGL.X,0,0
5000000,DGMI,0,0
5000000,DGSE,2.99,2.99
5000000,DGT,60.57,60.57
5000000,DGTL,0.83,0.83
5000000,DGX,83.26,83.26
5000000,DHB,14.23,14.23
5000000,DHC,10.76,10.76
5000000,DHCC,0.56,0.56
5000000,DHF,4.81,4.81
5000000,DHI,28.45,28.45
5000000,DHIL,10,10
5000000,DHOM,20.48,20.48
5000000,DHR,52.77,52.77
5000000,DHY,5.25,5.25
5000000,DIA,100,100
5000000,DIET,3.38,3.38
5000000,DIG,10,10
5000000,DIGE,25.23,25.23
5000000,DIGI,1.38,1.38
5000000,DIGL,1,1
5000000,DII,9.04,9.04
5000000,DIIB,28.96,28.96
5000000,DIMC,36,36
5000000,DIMEZ,0.14,0.14
5000000,DIO,1.79,1.79
5000000,DIOD,25.08,25.08
5000000,DIS,24.87,24.87
5000000,DISH,32.8,32.8
5000000,DISK,4.65,4.65
